Login,31,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,48,49,50,51,52,53,54,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,74,75,77,78,79,84,85,86,87,88,89,90,91,92,94,95,96,97,98,99,100,101,102,103,104,106,109,110,111,112
 U2,9,40,26,12,27,40,27,99,48,577,436,278,36,59,142,117,591,581,237,524,323,89,583,718,234,18,78,15,27,369,38,13,41,44,32,23,144,73,85,566,47,65,38,208,119,40,58,27,159,48,81,86,196,123,179,95,109,57,74,173,29,345,56,114,181,18,18,12,70
 U7,18,234,159,28,54,95,31,137,155,362,319,110,56,68,247,314,,,254,394,372,104,65,133,138,25,51,18,32,1080,32,25,37,70,27,38,155,40,155,410,245,910,119,263,290,66,50,38,109,92,95,63,234,134,235,70,38,77,104,59,50,145,66,156,110,6,11,47,80
 U13,116,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,391,,,,,,,,,,,30,137,218,,,,,,,,,,190,,,,,,10,27,17,60
 U20,45,93,363,30,42,188,59,939,221,,,438,102,172,92,179,,,,,,282,,,,38,64,25,95,,120,28,121,81,57,70,192,260,240,,456,71,,,,121,79,100,533,122,268,213,160,151,,105,355,203,,69,334,1019,132,201,,7,26,72,129
 U22,104,,,106,88,,,,,,,,,,,,,,,,,,,,,86,,185,,,,134,,,75,,,298,,,,,,,,,,124,,,,,,,,,,,,,,,,,,21,19,75,
 U23,34,,,26,,,148,,,,,,,,,,,,,,,,,,,106,,,,,,,,,80,,,,,,,,,,,,,112,,,,,,,,,192,,,81,,,,,,9,10,41,124
 U41,,,,,,,,42,74,221,,102,,,193,231,,,258,,229,,710,,,,,,,,,,,,,,124,,264,,,98,214,463,,,,,136,,97,79,184,131,,,63,,349,62,,,132,152,,15,,,
 U42,,42,,15,,,,,,,,,,,,,,,,,231,,,,,,,,,,,,,,,34,85,71,82,,,,,229,,,,,,,,,,202,,88,,,,,,,,,,8,10,,
 U44,16,19,38,15,16,39,11,64,93,127,139,1053,49,67,73,451,358,223,229,69,73,67,108,138,301,17,52,12,364,21,19,25,20,122,34,17,97,61,121,45,65,183,207,387,274,63,21,36,48,110,95,49,144,267,289,77,49,69,93,22,34,77,122,92,370,6,8,30,111
