id,placerelation,place
21944,1,54
21945,1,56
21946,1,57
21947,1,58
21948,1,60
21949,1,63
21950,1,66
21951,1,69
21952,1,71
21953,1,72
21954,1,75
21955,1,77
21956,1,80
21957,1,82
21958,1,85
21959,1,86
21960,1,87
21961,1,89
21962,1,92
21963,1,93
21964,1,94
21965,1,96
21966,1,98
21967,1,99
21968,1,102
21969,1,104
21970,1,106
21971,1,107
21972,1,109
21973,1,110
21974,1,111
21975,1,112
21976,1,114
21977,1,115
21978,1,118
21979,1,119
21980,1,120
21981,1,121
21982,1,122
21983,1,124
21984,1,125
21985,1,126
21986,1,128
21987,1,129
21988,1,130
21989,1,131
21990,1,136
21991,1,137
21992,1,141
21993,1,145
21994,1,148
21995,1,149
21996,1,150
21997,1,151
21998,1,152
21999,1,153
22000,1,155
22001,1,156
22002,1,157
22003,1,158
22004,1,159
22005,1,160
22006,1,161
22007,1,162
22008,1,163
22009,1,165
22010,1,167
22011,1,168
22012,1,169
22013,1,172
22014,1,173
22015,1,174
22016,1,175
22017,1,176
22018,1,181
22019,1,182
22020,1,184
22021,1,186
22022,1,187
22023,1,188
22024,1,192
22025,1,194
22026,1,195
22027,1,197
22028,1,198
22029,1,199
22030,1,201
22031,1,202
22032,1,203
22033,1,205
22034,1,207
22035,1,208
22036,1,209
22037,1,212
22038,1,213
22039,1,214
22040,1,215
22041,1,216
22042,1,217
22043,1,218
22044,1,219
22045,1,220
22046,1,222
22047,1,223
22048,1,224
22143,1,365
22216,1,373
22218,1,374
22219,1,378
22211,1,379
22221,1,380
22222,1,381
22223,1,382
22224,1,383
22141,1,384
22092,1,487
22093,1,488
22177,1,568
22178,1,569
22179,1,570
22180,1,571
22181,1,572
22182,1,573
22217,1,574
22220,1,575
22185,1,576
22208,1,611
22209,1,612
22213,1,620
22214,1,621
22049,1,841
22050,1,842
22051,1,857
22052,1,858
22053,1,859
22079,1,860
22055,1,861
22056,1,862
22057,1,966
22058,1,967
22059,1,968
22060,1,969
22061,1,970
22062,1,971
22063,1,972
22064,1,973
22065,1,974
22066,1,975
22067,1,976
22068,1,977
22069,1,978
22070,1,979
22071,1,980
22072,1,981
22073,1,982
22074,1,983
22075,1,984
22076,1,985
22077,1,986
22078,1,987
22054,1,988
22080,1,989
22081,1,990
22082,1,991
22083,1,992
22086,1,993
22087,1,994
22088,1,995
22089,1,996
22090,1,997
22091,1,998
22096,1,999
22102,1,1000
22094,1,1001
22095,1,1002
22084,1,1003
22097,1,1004
22098,1,1005
22099,1,1006
22100,1,1007
22101,1,1008
22085,1,1009
22103,1,1010
22104,1,1011
22105,1,1012
22106,1,1013
22107,1,1014
22108,1,1015
22112,1,1016
22113,1,1017
22114,1,1018
22115,1,1019
22116,1,1020
22117,1,1021
22118,1,1022
22119,1,1023
22109,1,1024
22110,1,1025
22111,1,1026
22120,1,1027
22121,1,1028
22122,1,1029
22123,1,1030
22124,1,1031
22125,1,1032
22126,1,1033
22127,1,1034
22128,1,1035
22129,1,1036
22130,1,1037
22131,1,1038
22132,1,1039
22133,1,1040
22134,1,1041
22135,1,1042
22136,1,1043
22137,1,1044
22138,1,1045
22139,1,1046
22140,1,1047
22145,1,1048
22146,1,1049
22147,1,1050
22148,1,1051
22149,1,1052
22150,1,1053
22151,1,1054
22152,1,1055
22153,1,1056
22154,1,1057
