id,nazev,median_casu,avg_casu,med_casu,avg_tahu,solved,attempts,min_solving_time,max_solving_time,1PM_constant,3PM_constant,3PM_slope,3PM_randomness
1405,960,12:48,14:49,12:48,13,21,264,5:11,34:52,10.22,9.91,-0.46,0.83
645,Alternation,2:27,4:36,2:27,8,1232,2727,0:24,2:20:32,7.61,7.67,-1.15,1.06
669,Poor navigation,3:21,6:10,3:21,9,477,1677,0:18,3:11:27,7.98,7.93,-0.73,1.42
700,Square,3:13,4:43,3:13,9,715,1520,0:29,1:09:30,7.93,7.88,-0.69,0.99
1403,Square 2,3:34,5:57,3:34,9,146,445,0:38,55:53,8.2,8.26,-0.93,1.12
701,Binary spiral,28:40,30:30,28:40,17,33,1228,0:12,1:56:38,10.74,10.87,-1.04,1.6
655,Maze,3:29,8:09,3:29,11,145,538,0:24,2:10:58,8.35,8.11,-0.3,1.48
696,Maze 2,14:45,43:53,14:45,56,14,521,0:07,3:33:04,10.64,12.77,-3.37,1.76
678,Sliding,5:24,9:07,5:24,10,127,540,0:39,1:48:27,8.79,8.93,-1.09,1.22
1404,Chaos,3:55,5:31,3:55,7,165,586,0:40,50:43,8.23,8.17,-0.65,0.98
657,Footway,3:15,5:46,3:15,11,499,1299,0:18,2:07:57,7.95,7.99,-0.96,1.21
639,Zig zag,2:43,4:28,2:43,7,789,1709,0:23,1:56:02,7.72,7.67,-0.72,1.14
648,Advanced zig zag,3:42,8:25,3:42,10,108,485,0:22,3:16:08,8.6,8.76,-1.09,1.33
672,Divide by two,4:48,9:45,4:48,12,129,633,0:21,2:39:34,8.75,9.14,-1.49,1.4
664,Dilemma 1,8:38,12:11,8:38,22,63,433,0:29,1:06:08,9.35,9.79,-1.49,1.49
665,Dilemma 2,5:03,8:11,5:03,13,152,578,0:15,47:15,8.53,8.58,-0.91,1.53
1706,House,1:55,3:31,1:55,8,1080,2333,0:09,57:41,6.87,6.88,-0.72,1.39
1124,Two backwards,0:20,0:34,0:20,3,4323,5186,0:06,33:25,4.4,4.42,-0.78,0.83
660,Two rows,2:49,7:17,2:49,8,151,439,0:23,1:26:46,8.05,7.79,-0.45,1.82
671,Two bit instructions,6:46,10:05,6:46,9,76,288,0:29,51:10,9.26,9.6,-1.35,1.23
1705,Snake,1:30,2:19,1:30,5,1349,2449,0:14,50:34,6.52,6.52,-0.88,1.01
698,Crest,1:22,2:12,1:22,6,2704,5377,0:13,1:13:46,6.5,6.5,-0.86,0.96
699,Crest 2,16:19,20:11,16:19,17,27,428,4:14,47:12,10.33,10.31,-0.75,1
642,Cross,3:24,6:19,3:24,9,368,1268,0:16,1:41:07,7.95,7.9,-0.7,1.5
1120,Zigzag,1:02,2:00,1:02,6,3518,6749,0:09,35:10,5.99,5.97,-1.05,1.22
702,Around stones,4:57,8:08,4:57,12,224,680,0:27,2:08:30,8.56,8.69,-1.12,1.25
653,Parity check,9:58,15:37,9:58,19,77,401,0:46,1:39:30,9.38,9.51,-1.04,1.49
1406,Parity check 2,8:40,22:24,8:40,21,30,244,0:29,2:51:22,9.69,10.3,-1.72,1.79
651,Around the flower,4:56,8:04,4:56,12,89,362,0:13,1:03:23,8.56,9.02,-1.56,1.51
673,Cycle with colors,2:06,3:40,2:06,8,1238,3329,0:11,50:43,7.15,7.12,-0.54,1.35
674,Counting lesson 1,3:28,8:48,3:28,12,288,1440,0:14,2:51:34,8.04,7.83,-0.42,2.08
647,Counting lesson 2,2:52,7:27,2:52,12,192,833,0:16,2:20:10,8.05,8.43,-1.53,1.55
683,Lesson in counting 3,14:21,18:33,14:21,18,64,373,0:55,1:29:19,9.88,10.5,-1.89,1.2
1402,Counting lesson 4,9:15,14:26,9:15,13,47,217,2:21,1:38:21,9.68,9.95,-1.25,1.06
706,Lesson in comparison,11:13,15:58,11:13,14,37,236,1:44,50:57,10.11,10.13,-0.86,0.99
1707,L shape,1:25,2:40,1:25,7,1350,2774,0:11,2:09:10,6.49,6.49,-1,1.21
658,Good memory,6:40,10:54,6:40,14,107,497,0:17,2:52:17,8.97,9.21,-1.24,1.44
644,Grid,2:52,4:49,2:52,10,996,2738,0:08,2:15:29,7.53,7.49,-0.61,1.45
676,Powers of two,22:35,29:11,22:35,19,30,344,0:41,2:38:43,10.55,10.05,0.19,1.54
697,One two three,4:04,7:14,4:04,12,234,606,0:15,1:26:05,8.23,8.2,-0.78,1.55
652,Up and down,4:34,6:04,4:34,10,188,485,0:18,37:08,8.2,8.06,-0.54,1.52
677,Unmarked curve,3:43,6:57,3:43,11,508,2184,0:15,2:01:16,7.96,8.09,-1.22,1.53
1401,Walk around,1:20,2:26,1:20,7,1952,3760,0:06,3:09:57,6.31,6.29,-1.13,1.18
654,Detours,2:45,6:05,2:45,11,1161,4106,0:18,3:07:29,7.61,7.68,-1.32,1.4
649,Turn around,2:33,3:56,2:33,8,2026,5123,0:12,1:05:15,7.26,7.27,-0.94,1.18
675,Letter X,5:14,8:19,5:14,11,125,434,0:23,1:26:46,8.71,8.67,-0.75,1.39
705,Hasty signalization,3:16,5:10,3:16,6,343,703,0:32,1:52:05,8.1,7.99,-0.67,1.15
1121,Meadow 1,3:06,5:11,3:06,9,916,2619,0:20,2:20:04,7.68,7.7,-0.95,1.14
1125,Meadow 2,3:42,5:27,3:42,7,345,775,0:42,1:54:27,8.21,8.2,-0.82,0.89
704,Avoid the stones,12:07,18:28,12:07,16,27,242,3:40,1:10:19,10.35,10.98,-1.65,0.93
661,Roboknight,3:44,5:49,3:44,9,245,803,0:24,48:36,8.24,8.39,-1.14,1.19
680,Broken stairs,8:16,16:25,8:16,17,34,335,0:32,1:53:22,9.6,10.08,-1.6,1.28
1122,Stop at red,2:23,4:22,2:23,9,1663,4068,0:17,2:37:00,7.26,7.27,-1.09,1.19
640,Stairs,1:18,2:08,1:18,6,3691,6232,0:12,1:51:33,6.29,6.26,-1.25,0.93
667,Slalom,3:08,5:39,3:08,8,334,901,0:24,1:31:37,8.06,8.15,-1.05,1.12
668,Slalom 2,3:21,5:47,3:21,9,276,877,0:22,1:02:47,8.12,8.33,-1.27,1.09
646,Loop,3:34,7:01,3:34,10,292,1160,0:13,2:54:00,8,8.08,-1.07,1.55
650,Spiral,3:29,6:37,3:29,10,370,1304,0:28,1:38:34,8.09,8.26,-1.26,1.26
1123,Roof,4:58,6:45,4:58,13,404,1643,0:24,1:01:54,8.13,8.14,-0.87,1.39
659,Tree of flowers,21:24,33:00,21:24,30,34,506,2:31,3:35:59,10.68,10.86,-1.09,1.5
670,Tree of flowers 2,6:53,13:31,6:53,13,88,436,1:11,1:18:55,9.2,8.75,0,1.68
643,T crossroad,2:36,4:22,2:36,8,1399,2920,0:13,2:57:25,7.49,7.48,-0.79,1.14
