id,nazev,median_casu,avg_casu,med_casu,avg_tahu,solved,attempts,min_solving_time,max_solving_time,1PM_constant,3PM_constant,3PM_slope,3PM_randomness
1089,,2:22,4:18,2:22,82,362,960,0:20,46:48,7.6,7.61,-1.27,1.06
1250,,0:25,0:57,0:25,25,1282,1994,0:05,43:53,4.87,4.83,-1.6,0.96
1251,,0:29,0:45,0:29,21,1214,1545,0:06,12:56,4.96,4.96,-1.11,0.77
1094,,1:07,1:58,1:07,47,420,975,0:05,25:42,6.38,6.33,-1.04,1.28
1062,,1:03,1:56,1:03,33,555,1132,0:05,23:23,6.33,6.31,-1.15,1.09
1070,,2:22,4:02,2:22,54,316,949,0:05,3:05:10,7.31,7.09,-0.32,1.54
1073,,0:36,1:02,0:36,24,890,1441,0:07,21:27,5.47,5.47,-1.36,0.77
1080,,1:59,3:23,1:59,59,338,1071,0:05,49:05,7.22,7.05,-0.6,1.45
1090,,2:16,3:23,2:16,51,312,839,0:08,23:52,7.35,7.21,-0.77,1.37
1092,,1:04,1:46,1:04,25,495,914,0:04,42:34,6.36,6.31,-1,1.02
1131,,4:16,5:15,4:16,79,203,947,0:07,44:07,7.99,7.52,0.11,1.7
1254,,1:21,2:11,1:21,24,424,832,0:04,2:19:08,6.57,6.47,-0.76,1.13
1071,,2:45,4:27,2:45,51,300,679,0:09,1:28:38,7.74,7.64,-0.89,1.25
1078,,4:16,5:45,4:16,51,231,611,0:04,2:16:24,8.1,7.7,0.02,1.55
1118,,4:16,5:42,4:16,48,193,597,0:11,32:46,8.15,7.66,0.08,1.66
1129,,3:02,4:35,3:02,57,246,750,0:12,1:31:56,7.8,7.47,-0.25,1.41
1130,,6:28,10:50,6:28,70,145,705,0:11,1:49:59,8.69,7.97,0.65,2.06
1255,,1:21,2:08,1:21,33,60,93,0:24,13:26,6.91,6.91,-1,0.81
1079,,5:31,7:53,5:31,67,161,664,0:17,1:21:23,8.66,8.26,-0.17,1.53
1127,,9:29,13:06,9:29,93,147,861,0:14,1:40:11,9.15,8.93,-0.71,1.9
1128,,6:42,9:38,6:42,69,158,539,0:05,2:08:11,8.84,8.34,0.07,1.64
1246,,0:43,1:10,0:43,20,498,824,0:06,17:56,5.78,5.81,-1.24,0.78
1247,,0:44,1:07,0:44,19,481,704,0:08,22:45,5.82,5.82,-1.05,0.76
1248,,0:54,1:18,0:54,22,389,660,0:06,19:18,6.09,6.07,-1.02,0.81
1075,,0:16,0:30,0:16,15,1249,1701,0:02,7:46,4.3,4.3,-1.29,0.88
1109,,0:15,0:29,0:15,12,1426,1867,0:03,24:21,4.13,4.15,-0.92,0.98
1110,,0:30,0:45,0:30,14,878,1216,0:02,13:15,5.08,5.08,-0.85,0.94
1076,,0:32,1:03,0:32,24,680,1099,0:08,15:54,5.42,5.46,-1.51,0.84
1077,,1:14,1:39,1:14,20,400,663,0:05,16:22,6.53,6.54,-1.12,0.78
1093,,1:01,1:35,1:01,17,417,629,0:04,32:39,6.24,6.28,-1.28,0.91
1132,,0:56,1:19,0:56,21,430,684,0:05,8:07,6.05,6.06,-1.09,0.92
1072,,0:31,0:48,0:31,26,1056,1362,0:08,39:31,5.12,5.12,-1.11,0.71
1091,,0:34,0:55,0:34,23,623,951,0:07,9:07,5.44,5.49,-1.43,0.75
1115,,0:38,0:59,0:38,17,948,1441,0:03,12:16,5.26,5.27,-1.08,1.04
1116,,0:39,0:59,0:39,19,869,1295,0:03,16:48,5.26,5.27,-1.06,1.09
1253,,0:56,1:49,0:56,24,629,1062,0:03,1:03:38,5.86,5.86,-1.3,1.32
1082,,0:41,1:10,0:41,34,792,1119,0:09,19:24,5.51,5.51,-1.38,0.88
1061,,0:32,0:46,0:32,41,1076,1291,0:12,8:37,5.2,5.21,-0.96,0.6
1081,,0:40,1:08,0:40,40,861,1212,0:08,15:32,5.51,5.5,-1.47,0.8
1063,,0:26,0:45,0:26,26,1289,1814,0:07,15:02,4.9,4.9,-1.22,0.8
1064,,0:37,1:33,0:37,25,909,1539,0:04,22:14,5.44,5.41,-1.8,1.3
1252,,0:34,1:35,0:34,26,803,1338,0:05,23:42,5.49,5.48,-1.83,1.26
1088,,0:55,1:26,0:55,38,454,690,0:12,53:00,6.22,6.26,-1.27,0.68
1087,,0:29,0:59,0:29,22,793,1229,0:03,1:02:32,5.25,5.3,-1.55,0.87
1065,,0:27,0:47,0:27,26,1349,1783,0:06,11:14,4.9,4.9,-1.25,0.83
1117,,0:36,0:53,0:36,30,898,1098,0:10,10:46,5.33,5.33,-0.98,0.74
1074,,0:15,0:39,0:15,17,1607,2235,0:03,17:17,4.13,4.09,-1.54,1.12
1111,,0:17,0:30,0:17,14,1556,1909,0:03,10:28,4.23,4.24,-1.01,0.94
1112,,0:17,0:32,0:17,14,1591,1891,0:04,1:01:35,4.23,4.25,-1.01,0.89
1249,,0:18,0:32,0:18,12,1608,2155,0:03,18:46,4.14,4.15,-1.04,1.09
1068,,0:11,0:22,0:11,12,1765,2395,0:02,9:54,3.53,3.5,-1.54,0.99
1067,,0:07,0:11,0:07,4,2058,2235,0:01,43:43,2.66,2.72,-0.69,0.8
1066,,0:11,0:19,0:11,11,1820,2246,0:02,6:34,3.52,3.5,-1.37,0.85
1069,,0:11,0:25,0:11,14,1531,2105,0:02,22:37,3.67,3.67,-1.34,1.15
1113,,0:55,1:54,0:55,44,498,1037,0:04,23:34,6.19,6.17,-1.05,1.24
1114,,0:57,1:44,0:57,30,556,1062,0:06,18:09,6.15,6.16,-1.29,1.07
