id,nazev,median_casu,avg_casu,med_casu,avg_tahu,solved,attempts,min_solving_time,max_solving_time,1PM_constant,3PM_constant,3PM_slope,3PM_randomness
31,Store 2a,1:06,1:46,1:06,18,705,2662,0:09,1:29:43,5.98,5.99,-1.18,0.88
32,Store 2b,1:29,2:12,1:29,43,521,2306,0:13,29:50,6.53,6.56,-1.15,0.84
33,Store 2c,1:32,2:54,1:32,25,321,2053,0:13,58:25,6.6,6.62,-1.03,1.3
35,Store 2d,1:01,1:27,1:01,22,921,2848,0:11,50:16,5.93,5.95,-0.98,0.71
59,Store 2e,1:00,1:30,1:00,27,1141,4170,0:09,34:01,5.84,5.85,-1.04,0.87
60,Store 2f,1:50,2:40,1:50,39,185,1034,0:19,20:55,6.94,6.89,-0.56,1.13
61,Store 2g,0:59,1:34,0:59,21,893,3829,0:08,1:10:15,5.91,5.91,-1.26,0.85
62,Store 2h,2:00,3:24,2:00,44,184,932,0:15,37:03,6.98,6.98,-0.87,1.32
63,Store 2i,2:56,6:12,2:56,82,87,561,0:15,36:07,7.72,7.7,-0.8,1.64
64,Store 2j,1:32,2:20,1:32,37,307,1416,0:18,32:08,6.68,6.71,-1.09,0.93
65,Store 2k,1:01,1:43,1:01,27,1091,4031,0:09,2:13:21,5.84,5.85,-0.97,0.95
66,Store 2l,1:55,3:15,1:55,37,181,941,0:20,43:26,7.06,7.09,-1.05,1.03
85,Store 2m,2:09,3:20,2:09,46,173,475,0:27,58:25,7.26,7.31,-1.12,0.79
86,Store 2n,1:24,2:05,1:24,33,476,1739,0:14,13:20,6.45,6.47,-0.9,0.93
90,Store 2o,2:46,4:33,2:46,85,134,515,0:43,1:23:55,7.77,7.79,-1.01,0.81
110,Store 2q,0:23,0:34,0:23,9,2208,4039,0:04,33:27,4.39,4.39,-1.04,0.62
111,Store 2r,1:28,2:39,1:28,31,373,1823,0:06,1:03:31,6.55,6.57,-1.09,1.24
36,Store 3aa,1:46,2:30,1:46,70,284,788,0:28,20:49,6.84,6.85,-0.84,0.75
37,Store 3ab,1:03,1:41,1:03,21,657,3483,0:08,38:42,5.99,6,-1.19,0.95
38,Store 3ac,1:50,3:10,1:50,34,167,851,0:21,35:07,7.12,7.22,-1.33,0.91
39,Store 3ad,2:10,3:40,2:10,54,165,549,0:39,33:11,7.37,7.44,-1.23,0.74
40,Store 3ae,18:21,22:10,18:21,256,23,526,0:49,1:02:22,10.51,10.64,-1.17,1.13
