Login,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,109,110,111,112,560
 U1,,,, 8,,,,,,,,,,,,,,,,,,,,,,,,, 144,,,,,,, 181,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1018,,,, 555,,,,,,,,, 4, 4,,,
 U2, 9, 40, 26, 12, 27, 40, 27, 99, 48, 892, 577, 436, 278, 36, 59, 142, 117, 591, 581, 237, 524, 323, 89, 583, 229, 226, 718, 234, 18, 78, 15, 27, 369, 38, 13, 41, 44, 32, 23, 144, 73, 85, 627, 566, 47, 1055, 65, 38, 208, 293, 340, 647, 301, 119, 40, 58, 27, 159, 48, 81, 86, 196, 303, 123, 179, 95, 109, 57, 74, 173, 29, 345, 56, 114, 162, 181, 18, 18, 12, 70,
 U5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 18,,,,
 U6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 15, 12,,,
 U7, 18, 234, 159, 28, 54, 95, 31, 137, 155,, 362, 319, 110, 56, 68, 247, 314,,, 254, 394, 372, 104, 65,,, 133, 138, 25, 51, 18, 32, 1080, 32, 25, 37, 70, 27, 38, 155, 40, 155, 1228, 410, 245, 228, 910, 119, 263,,,, 190, 290, 66, 50, 38, 109, 92, 95, 63, 234,, 134, 235, 70, 38, 77, 104, 59, 50, 145, 66, 156, 535, 110, 6, 11, 47, 80,
 U8, 16, 68,,,,, 18,,,,,,, 112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 54,,,,,,,,,,,,,,,,,,,, 13, 9,,,
 U9,,,, 26, 94,,,,,,,,,,,,,,,,,,,,,,,, 32,,,,,, 62,,, 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 7, 10,,,
 U11, 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 96,,,,,,,,,, 34,, 44,,,,,,,, 103,,, 41, 52,,,,,,, 50,,,
 U12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 7,,,,
 U13, 116,,,,,, 117,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 124,,,, 391,,,,,,,,,,,,,,,,, 30, 137, 218,,,,,,,,,,, 190,,,,,,, 10, 27, 17, 60,
 U15,,, 91,,,,,, 105,,,,,,,,,,, 238,,,,,,,,,,,, 179,,,,,,, 58, 302,,,,,,,,,,,,,,,,, 38,,,,,,, 347,,,,,,,,,,,,,,,,,
 U16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 17,,,
 U17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 14, 20,,,
 U18, 147,,,,,,,,,,,,,,,,,,,,,,,,,,,, 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 17, 13, 18,,
 U19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 15,,,,
 U20, 45, 93, 363, 30, 42, 188, 59, 939, 221,,,, 438, 102, 172, 92, 179,,,,,, 282,,,,,, 38, 64, 25, 95,, 120, 28, 121, 81, 57, 70, 192, 260, 240,,, 456,, 71,,,,,,,, 121, 79, 100, 533, 122, 268, 213, 160,, 151,, 105, 355, 203,, 69, 334, 1019, 132, 201,,, 7, 26, 72, 129,
 U21, 117,,, 85,,,,,,,,,,,,,,,,,,,,,,,,,,, 293,,,, 125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 27, 23,,,
 U22, 104,,, 106, 88,,,,,,,,,,,,,,,,,,,,,,,, 86,, 185,,,, 134,,, 75,,, 298,,,,,,,,,,,,,,,, 124,,,,,,,,,,,,,,,,,,,, 21, 19, 75,,
